City,AGE,Gender,Nationality,Subject_Area,Years_Higher_Education,Duration_Abroad,ECTS_Anticipated,Special_Needs,Language_Taught,Study_Grant,Placement_Grant
 BARCELO,19,F,ES,223,1,03. Mai,16,0,EN,455,0
 BARCELO,19,M,ES,223,1,03. Mai,16,0,DE,455,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,3,16,0,EN,390,0
 BILBAO0,19,F,ES,761,1,0,22,0,IT,0,900
 BILBAO0,19,F,ES,223,2,10,90,0,EN,1300,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,EN,487.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,EN,455,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,EN,455,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,FR,455,0
 BARCELO,19,M,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,FR,422.5,0
 BILBAO0,19,F,ES,223,2,9,50,0,DE,1170,0
 BILBAO0,19,F,ES,222,2,Apr-25,40,0,EN,552.5,0
 BILBAO0,19,F,ES,222,2,5,33,0,EN,650,0
 BILBAO0,19,F,ES,222,2,5,60,0,EN,650,0
 BILBAO0,19,F,ES,222,1,Apr-75,35,0,EN,617.5,0
 BARCELO,19,F,ES,223,1,3,16,0,EN,390,0
 BARCELO,19,M,ES,223,1,Mrz 75,16,0,DE,487.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,EN,455,0
 BARCELO,19,F,ES,223,1,Apr-25,16,0,EN,552.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,3,16,0,EN,390,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,EN,455,0
 BILBAO0,19,M,ES,222,2,Mai 25,30,0,EN,682.5,0
